,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Subthalamic_Nucleus,0.23920310,0.24585530,0.24166350,0.27373950,0.27155250,0.26535600,0.25369200,0.28157620,,0.26408030,0.25624350,0.24831560,0.23656050,0.26389800,0.22498760,0.26872760,0.26198440,0.25997960,0.24749550,0.25442100,0.24002330,0.26253110,0.23464690,0.26508260,0.27282830,0.24631090,0.26043530
Septum,3.28760800,3.20495700,3.39550000,3.74696900,3.80957200,4.17343400,3.60973500,3.69757900,,3.81376400,3.54202900,3.82214700,3.49409700,4.22902000,3.33426400,3.73913200,3.55250800,3.64964700,3.29808700,3.39057900,3.45245300,3.51833600,3.09706500,3.55569800,3.49327700,3.36424400,3.55205200
Globus_Pallidus,1.63223100,1.39776600,1.17478400,1.28103500,1.47932300,1.31821400,1.34026700,1.43275800,,1.26773100,1.31101500,1.51868900,1.25962100,1.28805200,1.27647900,1.28276700,1.37143100,1.32924000,1.31857900,1.47139500,1.35976700,1.39248100,1.29898700,1.41972800,1.44396700,1.35220400,1.44487800
Striatum,11.17493000,11.42698000,11.77399000,12.32730000,14.04455000,13.91160000,13.04810000,13.57617000,,13.41989000,12.36238000,13.52359000,11.40548000,13.50290000,12.17002000,13.78238000,13.28949000,13.11453000,12.22014000,12.52905000,12.59885000,12.83459000,11.53670000,12.94804000,12.72005000,11.93573000,12.57753000
Amygdala,4.96111900,4.89313900,4.79991800,5.40325700,5.56828500,5.91401300,5.34174800,5.43250800,,5.59115700,5.35869700,5.82534800,4.91847200,5.79527700,4.87072200,5.64482900,5.47406100,5.26028200,5.19029800,5.17708500,5.23914100,5.40553500,4.83108300,5.27486200,5.50950900,5.30283700,5.56591500
Accumbens,2.38501500,2.34163900,2.39084700,2.35713100,2.72873800,2.57182100,2.39266900,2.65492700,,2.62330700,2.38738400,2.30664700,2.42638500,2.76719300,2.14025300,2.28851300,2.35193600,2.47131000,2.36022900,2.40214600,2.33817600,2.37562900,2.15173500,2.39576700,2.49855600,2.29179400,2.44196800
Bed_Nucleus_of_the_Stria_Terminalis,0.24102560,0.23419130,0.23236880,0.28777270,0.26982110,0.29724980,0.25332750,0.26480930,,0.28266980,0.24539960,0.29433380,0.24713100,0.29077990,0.24703990,0.28312540,0.26872760,0.26152880,0.23920310,0.24576410,0.24977360,0.27100570,0.23692500,0.23510250,0.25442100,0.24895350,0.26572050
Ventral_Pallidum,0.67714990,0.69756190,0.65500650,0.82185640,0.89502980,0.83051330,0.77793410,0.84500220,,0.76955060,0.79032710,0.85119870,0.72763310,0.78340170,0.75442390,0.86085790,0.87853620,0.82003390,0.75305700,0.85493480,0.84536670,0.84044590,0.77684060,0.79342540,0.80964570,0.82058070,0.89803690
Periaquaductal_Grey,2.38100500,2.36360000,2.46447600,2.39686100,2.39203100,2.63141700,2.33781200,2.51696400,,2.52088200,2.39303400,2.47750700,2.44962200,2.49937700,2.37672200,2.62093700,2.39166700,2.23666300,2.31193200,2.30482500,2.24550200,2.31758200,2.05231700,2.29862800,2.22253900,2.22873500,2.32952000
Anterior_Pretectal_Nucleus,0.37552610,0.43758230,0.38728130,0.43421060,0.47412340,0.53344580,0.44614800,0.48797440,,0.46400850,0.39530030,0.45835880,0.39192860,0.47776840,0.42619160,0.46692450,0.43685330,0.44806160,0.40678200,0.43630650,0.39174640,0.45024860,0.35465850,0.44204740,0.43594200,0.37188110,0.40869560
Ventral_Tegmental_Area,0.20967860,0.22352960,0.23300660,0.22352960,0.23902090,0.25460330,0.23874750,0.22927050,,0.24767780,0.23537590,0.23829190,0.22881490,0.24676650,0.21122780,0.23883860,0.22763030,0.24029660,0.22216280,0.23464690,0.22416750,0.21705980,0.20466670,0.23273320,0.23245990,0.21888230,0.22599000
Thalamus_Rest,5.09498100,5.18337200,5.03547700,5.36370900,5.55871600,5.60437000,5.22374100,5.64993200,,5.59261500,5.37446200,5.58113300,5.20998100,5.71700000,5.07630100,5.61512300,5.57566500,5.43670000,5.25271800,5.39505600,5.39824500,5.42166400,4.88703400,5.48189800,5.27559100,5.13699000,5.29983000
